refno,tag,unit,fluid,seq,spec,pid,strlvl,cnote,insulation
=17384/5174,VO-IL-03301,VO,IL,03301,BJA,VO-00020-033-1,unset,unset,NT
=17384/5179,VO-IL-03302,VO,IL,03302,BJA,VO-00020-033-1,unset,unset,NT
=17384/5184,VO-IL-03303,VO,IL,03303,BJA,VO-00020-033-1,unset,unset,NT
=17384/5189,VO-IL-03304,VO,IL,03304,BJA,VO-00020-033-1,unset,unset,NT
=17384/5194,VO-IL-03305,VO,IL,03305,DJA,VO-00020-033-1,unset,unset,NT
=17384/5199,VO-IL-03306,VO,IL,03306,DJA,VO-00020-033-1,unset,unset,NT
=17384/5204,VO-IL-03307,VO,IL,03307,DJA,VO-00020-033-1,unset,unset,NT
=17384/5209,VO-IS-01301,VO,IS,01301,BA3,VO-00020-013-1,unset,unset,HC
=17384/5214,VO-IS-01302,VO,IS,01302,BA3,VO-00020-013-1,unset,unset,HC
=17384/5219,VO-IS-02601,VO,IS,02601,BA3,VO-00020-026-1,unset,unset,HC
=17384/5224,VO-IS-02602,VO,IS,02602,BA3,VO-00020-026-1,unset,unset,HC
=17384/5229,VO-IS-14001,VO,IS,14001,BA3,VO-00030-140-1,unset,unset,HC
=17384/5234,VO-IS-18101,VO,IS,18101,BA3,VO-00030-181-1,unset,unset,HC
=17384/5239,VO-LC-00401,VO,LC,00401,AA3,VO-00020-004-1,unset,unset,PP
=17384/5244,VO-LC-05101,VO,LC,05101,AA3,VO-00020-051-1,unset,unset,PP
=17384/5249,VO-LC-05301,VO,LC,05301,AA3,VO-00020-053-1,unset,unset,PP
=17384/5254,VO-LC-14001,VO,LC,14001,AA3,VO-00030-140-1,unset,unset,PP
=17384/5259,VO-LC-18101,VO,LC,18101,AA3,VO-00030-181-1,unset,unset,PP
=17384/5264,VO-LC-20101,VO,LC,20101,AA3,VO-00030-201-1,unset,unset,PP
=17384/5269,VO-LS-00101,VO,LS,00101,AA3,VO-00020-001-1,unset,unset,PP
=17384/5274,VO-LS-05101,VO,LS,05101,AA3,VO-00020-051-1,unset,unset,HC
=17384/5279,VO-LS-05301,VO,LS,05301,AA3,VO-00020-053-1,unset,unset,HC
=17384/5284,VO-LS-14001,VO,LS,14001,AA3,VO-00030-140-1,unset,unset,PP
=17384/5289,VO-LS-18101,VO,LS,18101,AA3,VO-00030-181-1,unset,unset,PP
=17384/5294,VO-LS-18102,VO,LS,18102,AA3,VO-00030-181-1,unset,unset,HC
=17384/5299,VO-LS-20101,VO,LS,20101,AA3,VO-00030-201-1,unset,unset,HC
=17384/5304,VO-MC-00401,VO,MC,00401,DA3,VO-00020-004-1,unset,unset,PP
=17384/5309,VO-MC-00402,VO,MC,00402,DA3,VO-00020-004-1,unset,unset,PP
=17384/5314,VO-MS-00401,VO,MS,00401,BA3,VO-00020-004-1,unset,unset,HC
=17384/5319,VO-MS-00402,VO,MS,00402,BA3,VO-00020-004-1,unset,unset,HC
=17384/5324,VO-MS-00403,VO,MS,00403,BA3,VO-00020-004-1,unset,unset,HC
=17384/5329,VO-MS-00404,VO,MS,00404,BA3,VO-00020-004-1,unset,unset,HC
=17384/5334,VO-MS-01101,VO,MS,01101,BA3,VO-00020-011-1,unset,unset,HC
=17384/5339,VO-MS-01102,VO,MS,01102,AA3,VO-00020-011-1,unset,unset,PP
=17384/5344,VO-MS-14001,VO,MS,14001,BA3,VO-00030-140-1,unset,unset,HC
=17384/5351,VO-NG-05001,VO,NG,05001,AA3,VO-00020-050-1,unset,unset,TL
=17384/5356,VO-NG-05201,VO,NG,05201,AA3,VO-00020-052-1,unset,unset,TL
